feature,importance
cat__neighborhood_DOUGLASTON,1.6
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,1.6
cat__neighborhood_ELTINGVILLE,1.6
cat__neighborhood_SOUTH JAMAICA,1.6
cat__neighborhood_CONCORD,1.6
cat__neighborhood_COLLEGE POINT,1.4
cat__neighborhood_BERGEN BEACH,1.4
cat__neighborhood_WOODHAVEN,1.4
cat__neighborhood_OAKLAND GARDENS,1.4
cat__neighborhood_CORONA,1.2
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,1.2
cat__neighborhood_RICHMOND HILL,1.2
cat__neighborhood_WOODROW,1.2
cat__neighborhood_GERRITSEN BEACH,1.2
cat__neighborhood_BELLE HARBOR,1.2
cat__neighborhood_OLD MILL BASIN,1.2
cat__neighborhood_HARLEM-CENTRAL,1.2
cat__neighborhood_WILLIAMSBRIDGE,1.2
cat__neighborhood_LITTLE NECK,1.0
cat__neighborhood_GREAT KILLS,1.0
cat__neighborhood_ELMHURST,1.0
cat__neighborhood_RIVERDALE,1.0
cat__neighborhood_STAPLETON,1.0
cat__neighborhood_ROSEBANK,0.8
cat__neighborhood_FRESH MEADOWS,0.8
cat__neighborhood_BRONXDALE,0.8
cat__neighborhood_CASTLE HILL/UNIONPORT,0.8
cat__neighborhood_BEECHHURST,0.8
cat__neighborhood_SUNSET PARK,0.8
cat__neighborhood_CANARSIE,0.8
cat__neighborhood_GRANT CITY,0.8
cat__neighborhood_MARINERS HARBOR,0.8
cat__neighborhood_TOTTENVILLE,0.6
cat__neighborhood_CLOVE LAKES,0.6
cat__neighborhood_HAMMELS,0.6
cat__neighborhood_BULLS HEAD,0.6
cat__neighborhood_ROSEDALE,0.6
cat__neighborhood_LONG ISLAND CITY,0.6
cat__neighborhood_STAPLETON-CLIFTON,0.4
cat__neighborhood_CASTLETON CORNERS,0.4
cat__neighborhood_CAMBRIA HEIGHTS,0.4
cat__dof_tax_class_1,0.4
cat__neighborhood_OAKWOOD-BEACH,0.4
cat__neighborhood_BAYCHESTER,0.4
cat__dof_bldg_class_A6,0.4
cat__neighborhood_MANHATTAN BEACH,0.4
cat__neighborhood_MASPETH,0.4
cat__neighborhood_KENSINGTON,0.4
cat__neighborhood_NEW SPRINGVILLE,0.2
cat__neighborhood_GOWANUS,0.2
cat__neighborhood_WAKEFIELD,0.2
cat__neighborhood_BROWNSVILLE,0.2
cat__neighborhood_MELROSE/CONCOURSE,0.2
cat__neighborhood_EAST TREMONT,0.2
cat__neighborhood_WILLIAMSBURG-EAST,0.2
cat__neighborhood_NEW DORP-HEIGHTS,0.2
cat__neighborhood_FLATLANDS,0.2
cat__neighborhood_MORRISANIA/LONGWOOD,0.2
cat__neighborhood_BENSONHURST,0.2
cat__neighborhood_TRAVIS,0.2
cat__neighborhood_WOODLAWN,0.2
cat__neighborhood_OZONE PARK,0.2
cat__neighborhood_BRIARWOOD,0.2
cat__neighborhood_OAKWOOD,0.2
cat__neighborhood_NEW DORP,0.2
cat__dof_bldg_class_A8,0.2
cat__neighborhood_BREEZY POINT,0.2
cat__neighborhood_PELHAM PARKWAY NORTH,0.2
cat__neighborhood_SEAGATE,0.2
cat__neighborhood_GLEN OAKS,0.2
cat__pluto_bldgclass_B9,0.2
cat__neighborhood_PELHAM GARDENS,0.2
cat__dof_bldg_class_U9,0.0
cat__neighborhood_BELMONT,0.0
cat__dof_bldg_class_Z7,0.0
cat__pluto_bldgclass_P8,0.0
cat__neighborhood_BELLEROSE,0.0
cat__dof_bldg_class_U7,0.0
cat__dof_bldg_class_S2,0.0
cat__pluto_bldgclass_S0,0.0
cat__dof_bldg_class_C0,0.0
cat__dof_bldg_class_S0,0.0
num__j51_active_flag,0.0
cat__dof_bldg_class_O8,0.0
cat__dof_bldg_class_G0,0.0
cat__pluto_bldgclass_S2,0.0
cat__dof_bldg_class_B9,0.0
cat__dof_bldg_class_B3,0.0
