feature,importance
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.00067017134
cat__neighborhood_JACKSON HEIGHTS,0.0006588113
cat__neighborhood_CONEY ISLAND,0.00064567593
cat__neighborhood_KENSINGTON,0.0006152326
cat__neighborhood_HILLCREST,0.00060190674
cat__neighborhood_GREAT KILLS,0.00058186136
cat__neighborhood_TOMPKINSVILLE,0.0005539223
cat__neighborhood_FAR ROCKAWAY,0.0005275717
cat__neighborhood_GRANT CITY,0.00049230165
cat__neighborhood_RICHMOND HILL,0.0004919034
cat__neighborhood_MIDDLE VILLAGE,0.00047311012
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,0.00046795985
cat__neighborhood_WYCKOFF HEIGHTS,0.00046613254
cat__neighborhood_RIDGEWOOD,0.00044462935
cat__neighborhood_BATH BEACH,0.00043792877
cat__neighborhood_PELHAM PARKWAY SOUTH,0.0004259048
cat__neighborhood_NEW SPRINGVILLE,0.00035956563
cat__neighborhood_THROGS NECK,0.00035006163
cat__neighborhood_NAVY YARD,0.00034317293
cat__neighborhood_KINGSBRIDGE/JEROME PARK,0.0003431656
cat__neighborhood_CANARSIE,0.00034174707
cat__neighborhood_PORT RICHMOND,0.00031914888
cat__neighborhood_JAVITS CENTER,0.0
cat__neighborhood_BELLE HARBOR,0.0
cat__neighborhood_BRIARWOOD,0.0
cat__neighborhood_BEDFORD PARK/NORWOOD,0.0
cat__neighborhood_WILLIAMSBRIDGE,0.0
cat__neighborhood_KEW GARDENS,0.0
cat__neighborhood_JAMAICA ESTATES,0.0
cat__neighborhood_OZONE PARK,0.0
cat__neighborhood_JAMAICA,0.0
cat__neighborhood_BAYSIDE,0.0
cat__neighborhood_WEST NEW BRIGHTON,0.0
cat__neighborhood_ARROCHAR-SHORE ACRES,0.0
cat__dof_bldg_class_R9,0.0
cat__dof_bldg_class_RB,0.0
cat__dof_bldg_class_RK,0.0
cat__dof_bldg_class_RR,0.0
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,0.0
cat__neighborhood_HOWARD BEACH,0.0
cat__neighborhood_CITY ISLAND,0.0
cat__neighborhood_BRONXDALE,0.0
cat__neighborhood_BUSH TERMINAL,0.0
cat__neighborhood_OAKLAND GARDENS,0.0
cat__neighborhood_DYKER HEIGHTS,0.0
cat__neighborhood_GRYMES HILL,0.0
cat__neighborhood_DONGAN HILLS,0.0
cat__neighborhood_ROOSEVELT ISLAND,0.0
cat__neighborhood_ROSEBANK,0.0
cat__neighborhood_CYPRESS HILLS,0.0
cat__neighborhood_SILVER LAKE,0.0
cat__neighborhood_EAST TREMONT,0.0
cat__neighborhood_SOUTH OZONE PARK,0.0
cat__neighborhood_FLATBUSH-EAST,0.0
cat__neighborhood_FLATBUSH-NORTH,0.0
cat__neighborhood_MASPETH,0.0
cat__neighborhood_FLATLANDS,0.0
cat__neighborhood_EAST ELMHURST,0.0
cat__neighborhood_FORDHAM,0.0
cat__neighborhood_GLENDALE,0.0
cat__dof_tax_class_4,0.0
